Song,Date,Number of Plays
Sweet Child o' Mine,2022-12-12,68507
Stairway to Heaven,2022-12-13,21384
Hotel California,2022-12-07,27178
Hey Jude,2022-12-12,27922
Wonderwall,2022-12-03,38976
Like a Rolling Stone,2022-12-11,31010
Wonderwall,2022-12-10,57325
Like a Rolling Stone,2022-12-10,23077
Stairway to Heaven,2022-12-08,16550
Sweet Child o' Mine,2022-12-12,15184
Bohemian Rhapsody,2022-12-02,31227
Like a Rolling Stone,2022-12-12,94334
Yesterday,2022-12-12,68620
Bohemian Rhapsody,2022-12-02,14240
Yesterday,2022-12-13,33239
Smells Like Teen Spirit,2022-12-10,35700
Yesterday,2022-12-07,85884
Hotel California,2022-12-11,79087
Hey Jude,2022-12-04,68886
Wonderwall,2022-12-05,37302
Stairway to Heaven,2022-12-13,69940
Wonderwall,2022-12-02,63004
Like a Rolling Stone,2022-12-12,67960
Imagine,2022-12-03,21310
Like a Rolling Stone,2022-12-02,88910
Wonderwall,2022-12-08,78103
Hey Jude,2022-12-09,40047
Bohemian Rhapsody,2022-12-01,87397
Bohemian Rhapsody,2022-12-14,67561
Hotel California,2022-12-14,67088
Stairway to Heaven,2022-12-05,6141
Stairway to Heaven,2022-12-11,24183
Imagine,2022-12-02,36618
Hey Jude,2022-12-11,5247
Stairway to Heaven,2022-12-01,21057
Smells Like Teen Spirit,2022-12-09,56352
Stairway to Heaven,2022-12-05,72573
Yesterday,2022-12-03,1751
Hotel California,2022-12-07,77277
Like a Rolling Stone,2022-12-02,68991
Like a Rolling Stone,2022-12-02,39732
Imagine,2022-12-14,10425
Hotel California,2022-12-01,4248
Sweet Child o' Mine,2022-12-08,6377
Smells Like Teen Spirit,2022-12-13,23612
Stairway to Heaven,2022-12-07,64444
Imagine,2022-12-12,84210
Sweet Child o' Mine,2022-12-08,74270
Stairway to Heaven,2022-12-08,86999
Yesterday,2022-12-10,12932
Like a Rolling Stone,2022-12-08,6907
Yesterday,2022-12-03,6047
Hey Jude,2022-12-10,5309
Smells Like Teen Spirit,2022-12-10,22410
Stairway to Heaven,2022-12-02,49986
Smells Like Teen Spirit,2022-12-12,62100
Smells Like Teen Spirit,2022-12-01,90615
Hey Jude,2022-12-07,24373
Like a Rolling Stone,2022-12-11,68015
Sweet Child o' Mine,2022-12-07,82391
Hotel California,2022-12-10,65962
Smells Like Teen Spirit,2022-12-12,76878
Sweet Child o' Mine,2022-12-03,82486
Wonderwall,2022-12-14,45454
Wonderwall,2022-12-13,7555
Bohemian Rhapsody,2022-12-02,48226
Like a Rolling Stone,2022-12-04,10340
Like a Rolling Stone,2022-12-14,25163
Stairway to Heaven,2022-12-07,11282
Stairway to Heaven,2022-12-13,55742
Like a Rolling Stone,2022-12-13,90138
Imagine,2022-12-13,55158
Hotel California,2022-12-04,55428
Sweet Child o' Mine,2022-12-04,7600
Like a Rolling Stone,2022-12-11,2629
Stairway to Heaven,2022-12-04,32299
Yesterday,2022-12-08,42450
Hey Jude,2022-12-03,36030
Smells Like Teen Spirit,2022-12-05,57661
Bohemian Rhapsody,2022-12-11,62321
Bohemian Rhapsody,2022-12-11,54396
Hey Jude,2022-12-08,86735
Imagine,2022-12-11,56566
Sweet Child o' Mine,2022-12-10,91286
Yesterday,2022-12-06,76781
Stairway to Heaven,2022-12-12,40763
Bohemian Rhapsody,2022-12-04,38836
Smells Like Teen Spirit,2022-12-06,67577
Wonderwall,2022-12-12,5916
Sweet Child o' Mine,2022-12-04,60177
Imagine,2022-12-05,21971
Stairway to Heaven,2022-12-06,2964
Stairway to Heaven,2022-12-08,43394
Sweet Child o' Mine,2022-12-01,44639
Imagine,2022-12-02,73210
Like a Rolling Stone,2022-12-02,73781
Hey Jude,2022-12-14,42627
Like a Rolling Stone,2022-12-02,16915
Stairway to Heaven,2022-12-10,12419
Like a Rolling Stone,2022-12-11,48127
Hotel California,2022-12-02,67429
Hey Jude,2022-12-03,29659
Yesterday,2022-12-10,68750
Sweet Child o' Mine,2022-12-08,23697
Imagine,2022-12-08,15018
Like a Rolling Stone,2022-12-01,82000
Like a Rolling Stone,2022-12-12,95810
Stairway to Heaven,2022-12-11,13460
Hotel California,2022-12-09,9604
Like a Rolling Stone,2022-12-10,83010
Like a Rolling Stone,2022-12-13,8943
Yesterday,2022-12-06,94708
Bohemian Rhapsody,2022-12-04,45113
Imagine,2022-12-02,86471
Imagine,2022-12-05,9204
Wonderwall,2022-12-05,49808
Hotel California,2022-12-05,37992
Yesterday,2022-12-06,69212
Wonderwall,2022-12-07,45572
Smells Like Teen Spirit,2022-12-05,70377
Hey Jude,2022-12-04,99042
Imagine,2022-12-12,10318
Bohemian Rhapsody,2022-12-01,84942
Sweet Child o' Mine,2022-12-12,6144
Hey Jude,2022-12-14,71753
Hotel California,2022-12-03,65188
Smells Like Teen Spirit,2022-12-12,20392
Wonderwall,2022-12-06,53037
Yesterday,2022-12-12,7076
Sweet Child o' Mine,2022-12-10,77932
Like a Rolling Stone,2022-12-10,8749
Like a Rolling Stone,2022-12-09,19561
Bohemian Rhapsody,2022-12-13,7565
Hey Jude,2022-12-02,48184
Bohemian Rhapsody,2022-12-12,34358
Sweet Child o' Mine,2022-12-13,17298
Bohemian Rhapsody,2022-12-07,71141
Smells Like Teen Spirit,2022-12-11,32326
Hotel California,2022-12-10,48977
Smells Like Teen Spirit,2022-12-06,75198
Like a Rolling Stone,2022-12-02,57287
Yesterday,2022-12-02,75763
Like a Rolling Stone,2022-12-14,97958
Hey Jude,2022-12-13,92697
Yesterday,2022-12-01,13453
Smells Like Teen Spirit,2022-12-07,39193
Imagine,2022-12-04,96812
Yesterday,2022-12-08,13470
Hey Jude,2022-12-01,66438
Bohemian Rhapsody,2022-12-13,67129
Yesterday,2022-12-14,96325
Stairway to Heaven,2022-12-11,70601
Sweet Child o' Mine,2022-12-05,41232
Wonderwall,2022-12-09,98201
Sweet Child o' Mine,2022-12-04,38962
Hotel California,2022-12-02,28876
Yesterday,2022-12-11,81734
Yesterday,2022-12-02,83604
Wonderwall,2022-12-05,16703
Hey Jude,2022-12-06,86407
Bohemian Rhapsody,2022-12-01,66764
Yesterday,2022-12-13,94079
Hey Jude,2022-12-09,32449
Like a Rolling Stone,2022-12-13,59661
Smells Like Teen Spirit,2022-12-05,61841
Imagine,2022-12-05,68243
Hey Jude,2022-12-06,34433
Bohemian Rhapsody,2022-12-06,37590
Smells Like Teen Spirit,2022-12-05,87756
Hey Jude,2022-12-02,24299
Sweet Child o' Mine,2022-12-08,50026
Like a Rolling Stone,2022-12-12,75124
Hotel California,2022-12-10,95870
Hotel California,2022-12-10,95219
Imagine,2022-12-13,70493
Smells Like Teen Spirit,2022-12-08,95275
Smells Like Teen Spirit,2022-12-09,76175
Like a Rolling Stone,2022-12-01,88517
Like a Rolling Stone,2022-12-10,32846
Stairway to Heaven,2022-12-04,67660
Hey Jude,2022-12-05,53235
Imagine,2022-12-11,96505
Bohemian Rhapsody,2022-12-06,97606
Imagine,2022-12-09,21106
Like a Rolling Stone,2022-12-08,77889
Like a Rolling Stone,2022-12-08,31079
Stairway to Heaven,2022-12-11,59231
Imagine,2022-12-01,55143
Wonderwall,2022-12-11,58682
Like a Rolling Stone,2022-12-04,41280
Like a Rolling Stone,2022-12-07,88870
Sweet Child o' Mine,2022-12-14,47146
Like a Rolling Stone,2022-12-08,67037
Bohemian Rhapsody,2022-12-01,19859
Like a Rolling Stone,2022-12-03,98782
Like a Rolling Stone,2022-12-05,81541
Hotel California,2022-12-04,10171
Smells Like Teen Spirit,2022-12-11,30371
Sweet Child o' Mine,2022-12-10,34241
Hey Jude,2022-12-13,56086
Hotel California,2022-12-11,95822
Sweet Child o' Mine,2022-12-03,11147
Wonderwall,2022-12-09,74358
Sweet Child o' Mine,2022-12-11,17913
Yesterday,2022-12-07,85177
Hotel California,2022-12-07,87915
Imagine,2022-12-08,67078
Bohemian Rhapsody,2022-12-01,95494
Imagine,2022-12-11,70763
Hey Jude,2022-12-07,42305
Bohemian Rhapsody,2022-12-13,52094
Stairway to Heaven,2022-12-07,40413
Smells Like Teen Spirit,2022-12-13,56390
Hey Jude,2022-12-06,78228
Sweet Child o' Mine,2022-12-09,29385
Yesterday,2022-12-13,12650
Yesterday,2022-12-05,66419
Stairway to Heaven,2022-12-07,66527
Smells Like Teen Spirit,2022-12-03,96283
Hey Jude,2022-12-06,41207
Stairway to Heaven,2022-12-02,80733
Sweet Child o' Mine,2022-12-10,37067
Smells Like Teen Spirit,2022-12-05,35816
Bohemian Rhapsody,2022-12-13,43164
Smells Like Teen Spirit,2022-12-12,25438
Hotel California,2022-12-12,29800
Bohemian Rhapsody,2022-12-02,49540
Sweet Child o' Mine,2022-12-04,12517
Stairway to Heaven,2022-12-08,95900
Smells Like Teen Spirit,2022-12-10,68117
Smells Like Teen Spirit,2022-12-07,29537
Yesterday,2022-12-08,8367
Sweet Child o' Mine,2022-12-02,69530
Like a Rolling Stone,2022-12-10,58423
Yesterday,2022-12-02,55214
Smells Like Teen Spirit,2022-12-01,94201
Stairway to Heaven,2022-12-13,96581
Stairway to Heaven,2022-12-03,37432
Imagine,2022-12-06,55330
Hey Jude,2022-12-13,80136
Like a Rolling Stone,2022-12-12,18533
Sweet Child o' Mine,2022-12-02,9273
Bohemian Rhapsody,2022-12-05,95463
Wonderwall,2022-12-03,44993
Hey Jude,2022-12-03,85755
Smells Like Teen Spirit,2022-12-09,79825
Hotel California,2022-12-08,7258
Wonderwall,2022-12-07,57573
Smells Like Teen Spirit,2022-12-10,85858
Imagine,2022-12-14,81709
Hotel California,2022-12-03,20406
Like a Rolling Stone,2022-12-08,43363
Imagine,2022-12-03,20735
Yesterday,2022-12-10,82022
Bohemian Rhapsody,2022-12-04,78615
Imagine,2022-12-10,68786
Yesterday,2022-12-08,95166
Sweet Child o' Mine,2022-12-08,43798
Like a Rolling Stone,2022-12-09,74505
